Date,平均温度,最高温,最低温,平均降水,最高露点,平均露点,最低露点,最高湿度(%),最低湿度(%),平均相对湿度(%),最高气压,平均气压,最低气压,最高风速,平均风速,最低风速,BSI_厦门手足口病_all,BSI_厦门手足口病_pc,BSI_厦门手足口病_wise,BSI_厦门肝炎_all,BSI_厦门肝炎_pc,BSI_厦门肝炎_wise,BSI_厦门腹泻_all,BSI_厦门腹泻_pc,BSI_厦门腹泻_wise,手足口病,肝炎,其他感染性腹泻,HF1,HF2,HF3,HF4,HF5,HF6,HF7,H1,H2,H3,H4,H5,H6,H7,D1,D2,D3,D4,D5,D6,D7
2011Y01W,11.57,17.78,7.78,1.2,11.11,6.14,-17.78,88,44,72.16,1023.26,1017.78,1012.45,22,8.98,0,409,360,0,360,360,0,409,409,0,22,123,70,3,2,5,4,3,1,4,10,17,28,23,13,6,26,8,17,11,10,14,4,6
2011Y02W,10.32,17.78,5,2.57,12.22,2.56,-17.78,94,28,64.35,1023.26,1016.76,1010.42,22,11.37,0,366,234,0,418,418,0,366,366,0,13,159,62,3,3,0,0,3,1,3,23,39,30,32,21,9,5,12,9,6,8,12,7,8
2011Y03W,12.33,17.78,5,1.29,12.78,7.31,-17.78,94,31,73.1,1024.27,1017.25,1011.43,20,8.41,0,346,354,0,407,407,0,346,346,0,9,126,66,2,1,3,0,1,2,0,22,18,24,18,15,10,19,8,12,8,10,15,5,8
2011Y04W,11.9,17.22,7.22,0.3,11.11,5.85,-17.78,82,48,68.2,1025.28,1021.27,1017.51,20,10.8,0,352,350,0,425,425,0,352,352,0,8,122,40,4,0,1,2,1,0,0,34,26,15,12,16,8,11,5,12,4,4,5,6,4
2011Y05W,12.73,22.22,7.22,0,11.11,5.03,-17.78,94,31,65.52,1025.28,1016.25,1010.42,20,6.73,0,356,175,0,182,182,0,356,356,0,4,41,21,1,1,0,1,1,0,0,14,8,8,1,0,2,8,3,8,2,1,2,3,2
2011Y06W,14.24,22.78,8.89,13.24,13.89,9.19,1.11,100,39,73.21,1019.2,1010.94,1002.31,22,9.22,0,416,293,0,433,433,0,416,416,0,0,105,47,0,0,0,0,0,0,0,7,13,19,13,18,15,20,4,5,12,9,4,6,7
2011Y07W,10.65,16.11,6.11,15.34,12.78,8.11,1.11,100,62,85.6,1021.23,1015.35,1008.39,22,7.48,0,365,271,0,485,485,0,365,365,0,8,103,54,0,2,2,1,1,1,1,16,19,21,21,11,7,8,8,8,6,6,13,8,5
2011Y08W,16.11,23.89,8.89,0,16.11,10.57,2.22,94,39,71.04,1018.19,1013.74,1008.39,18,6.44,0,378,359,0,445,445,0,378,378,0,5,116,52,1,0,1,2,0,1,0,13,14,24,8,29,12,16,8,7,12,7,4,11,3
2011Y09W,14.59,22.78,10,0.21,17.78,8.69,2.22,100,37,69.22,1020.22,1013.95,1007.38,22,9.54,0,348,365,0,378,378,0,348,348,0,7,110,52,1,1,0,1,2,0,2,25,15,14,17,20,9,10,14,3,11,11,8,2,3
2011Y10W,14.75,21.11,8.89,0.34,13.89,7.46,-17.78,94,27,65.86,1020.22,1016.04,1009.41,22,8.95,0,422,298,0,426,426,0,422,422,0,7,116,42,3,0,2,1,0,0,1,17,15,19,19,16,16,14,6,7,11,4,5,6,3
2011Y11W,15.72,27.78,11.11,5.19,18.89,9.11,-17.78,100,21,71.96,1022.24,1014.12,1005.35,25,9.05,0,360,433,0,438,438,0,360,360,0,13,102,58,3,1,0,2,2,0,5,17,7,23,20,14,6,15,9,9,6,5,14,5,10
2011Y12W,14.49,27.78,11.11,1.46,22.22,6.98,-17.78,100,30,67.43,1022.24,1015.4,1005.35,22,14.19,0,436,427,0,440,440,0,436,436,0,13,123,40,0,0,1,2,2,4,4,20,28,18,24,14,7,12,5,14,5,5,4,4,3
2011Y13W,15.52,23.89,10,0.16,13.89,1.35,-17.78,88,16,47.4,1022.24,1017.47,1010.42,20,10.63,0,424,440,0,442,442,0,424,424,0,12,119,44,1,3,3,2,0,1,2,18,13,19,22,25,9,13,12,5,7,6,7,2,5
2011Y14W,17.33,27.22,12.22,0.06,17.22,12.08,1.11,100,36,72.64,1018.19,1013.11,1007.38,20,8.86,0,427,436,0,378,378,0,427,427,0,15,86,51,3,1,0,2,4,3,2,8,6,9,16,22,15,10,5,3,8,5,13,9,8
2011Y15W,20.47,30,16.11,2.74,18.89,13.43,2.22,94,33,65.73,1018.19,1011.7,1001.3,22,7.39,0,374,450,0,439,439,0,374,374,0,29,127,55,9,1,3,1,5,2,8,27,19,15,27,20,11,8,10,13,9,9,5,5,4
2011Y16W,20.52,31.11,16.11,3.43,20,15,8.89,100,42,72.33,1016.5,1008.31,1000.29,20,7.86,0,435,484,0,392,392,0,435,435,0,30,123,43,0,3,8,7,5,2,5,22,18,14,22,27,10,10,8,9,4,9,9,2,2
2011Y17W,22.95,32.78,15,11.19,21.11,14.37,-1.11,94,18,63.01,1011.43,1006.82,999.27,20,6.65,0,427,516,0,396,396,0,427,427,0,48,129,32,8,5,7,5,9,4,10,22,25,29,20,25,6,2,8,7,7,1,7,2,0
2011Y18W,20.42,27.22,16.11,29.53,23.89,19.2,13.89,100,78,92.75,1010.42,1006.4,1004.34,16,5.15,0,433,496,0,435,435,0,433,433,0,60,100,55,2,11,6,10,9,3,19,12,16,21,19,15,8,9,7,10,6,12,8,3,9
2011Y19W,25.92,36.11,20,21.66,26.11,22.46,17.78,100,50,82.63,1009.41,1003.31,997.58,18,6.41,0,420,565,0,382,382,0,420,420,0,99,96,42,9,11,20,14,19,11,15,13,7,21,20,12,11,12,7,8,6,7,6,5,3
2011Y20W,22.4,28.89,17.78,11.07,22.78,18.46,13.89,100,45,79.81,1012.45,1007.74,1002.31,16,6.84,0,419,725,0,455,455,0,419,419,0,192,94,52,24,37,34,27,30,14,26,8,19,17,11,18,8,13,9,11,6,5,7,7,7
